"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","170318188003","IL","170318188003","=""170318188003""","698.72","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318188004","IL","170318188004","=""170318188004""","399.65","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318188005","IL","170318188005","=""170318188005""","0.00","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318188006","IL","170318188006","=""170318188006""","572.66","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318189001","IL","170318189001","=""170318189001""","0.00","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318189002","IL","170318189002","=""170318189002""","363.44","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318189003","IL","170318189003","=""170318189003""","435.86","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318190001","IL","170318190001","=""170318190001""","379.54","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318190002","IL","170318190002","=""170318190002""","478.78","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318190003","IL","170318190003","=""170318190003""","777.85","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318190004","IL","170318190004","=""170318190004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318191001","IL","170318191001","=""170318191001""","926.71","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318191002","IL","170318191002","=""170318191002""","627.64","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318191003","IL","170318191003","=""170318191003""","394.29","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318191004","IL","170318191004","=""170318191004""","138.14","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318192001","IL","170318192001","=""170318192001""","686.65","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318192002","IL","170318192002","=""170318192002""","368.81","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318192003","IL","170318192003","=""170318192003""","167.64","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318192004","IL","170318192004","=""170318192004""","1066.19","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318193001","IL","170318193001","=""170318193001""","130.09","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318193002","IL","170318193002","=""170318193002""","123.38","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318193003","IL","170318193003","=""170318193003""","130.09","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318194001","IL","170318194001","=""170318194001""","631.67","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318194002","IL","170318194002","=""170318194002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318194003","IL","170318194003","=""170318194003""","478.78","2021","2010","EPA Smart Location Database","Illinois (State)"
