Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Household Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,17031010501,IL,17031010501,17031010501,47364,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010502,IL,17031010502,17031010502,48831,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010503,IL,17031010503,17031010503,16399,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010600,IL,17031010600,17031010600,58993,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010701,IL,17031010701,17031010701,64007,2017-2021,2020,Census,Illinois (State)
Census Tract,17031010702,IL,17031010702,17031010702,48799,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020100,IL,17031020100,17031020100,50041,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020200,IL,17031020200,17031020200,99987,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020301,IL,17031020301,17031020301,62917,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020302,IL,17031020302,17031020302,78987,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020400,IL,17031020400,17031020400,63092,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020500,IL,17031020500,17031020500,38271,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020601,IL,17031020601,17031020601,57250,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020602,IL,17031020602,17031020602,78293,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020701,IL,17031020701,17031020701,83571,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020702,IL,17031020702,17031020702,55451,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020801,IL,17031020801,17031020801,57127,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020802,IL,17031020802,17031020802,57224,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020901,IL,17031020901,17031020901,47316,2017-2021,2020,Census,Illinois (State)
Census Tract,17031020902,IL,17031020902,17031020902,42816,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030101,IL,17031030101,17031030101,40776,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030102,IL,17031030102,17031030102,47366,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030103,IL,17031030103,17031030103,54519,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030104,IL,17031030104,17031030104,36318,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030200,IL,17031030200,17031030200,92260,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030300,IL,17031030300,17031030300,52382,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030400,IL,17031030400,17031030400,92650,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030500,IL,17031030500,17031030500,101063,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030601,IL,17031030601,17031030601,46250,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030603,IL,17031030603,17031030603,45263,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030604,IL,17031030604,17031030604,55093,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030701,IL,17031030701,17031030701,40357,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030702,IL,17031030702,17031030702,66016,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030703,IL,17031030703,17031030703,51750,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030706,IL,17031030706,17031030706,58639,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030800,IL,17031030800,17031030800,87065,2017-2021,2020,Census,Illinois (State)
Census Tract,17031030900,IL,17031030900,17031030900,93093,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031000,IL,17031031000,17031031000,98929,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031100,IL,17031031100,17031031100,77672,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031200,IL,17031031200,17031031200,29214,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031300,IL,17031031300,17031031300,58828,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031400,IL,17031031400,17031031400,80580,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031501,IL,17031031501,17031031501,43416,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031502,IL,17031031502,17031031502,40074,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031700,IL,17031031700,17031031700,74615,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031800,IL,17031031800,17031031800,76921,2017-2021,2020,Census,Illinois (State)
Census Tract,17031031900,IL,17031031900,17031031900,87694,2017-2021,2020,Census,Illinois (State)
Census Tract,17031032100,IL,17031032100,17031032100,68444,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040100,IL,17031040100,17031040100,90000,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040201,IL,17031040201,17031040201,91436,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040202,IL,17031040202,17031040202,48262,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040300,IL,17031040300,17031040300,94973,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040401,IL,17031040401,17031040401,111389,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040402,IL,17031040402,17031040402,91016,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040600,IL,17031040600,17031040600,83042,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040700,IL,17031040700,17031040700,103690,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040800,IL,17031040800,17031040800,94943,2017-2021,2020,Census,Illinois (State)
Census Tract,17031040900,IL,17031040900,17031040900,76538,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050100,IL,17031050100,17031050100,119622,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050200,IL,17031050200,17031050200,134773,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050300,IL,17031050300,17031050300,149034,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050500,IL,17031050500,17031050500,132500,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050600,IL,17031050600,17031050600,105469,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050700,IL,17031050700,17031050700,115787,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050800,IL,17031050800,17031050800,150250,2017-2021,2020,Census,Illinois (State)
Census Tract,17031050900,IL,17031050900,17031050900,121071,2017-2021,2020,Census,Illinois (State)
Census Tract,17031051000,IL,17031051000,17031051000,156898,2017-2021,2020,Census,Illinois (State)
Census Tract,17031051100,IL,17031051100,17031051100,161750,2017-2021,2020,Census,Illinois (State)
Census Tract,17031051200,IL,17031051200,17031051200,154114,2017-2021,2020,Census,Illinois (State)
Census Tract,17031051300,IL,17031051300,17031051300,199977,2017-2021,2020,Census,Illinois (State)
