"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","060830027072","CA","060830027072","=""060830027072""","540.47","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027073","CA","060830027073","=""060830027073""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027081","CA","060830027081","=""060830027081""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027082","CA","060830027082","=""060830027082""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830027083","CA","060830027083","=""060830027083""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028021","CA","060830028021","=""060830028021""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028022","CA","060830028022","=""060830028022""","769.80","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028023","CA","060830028023","=""060830028023""","1078.26","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028024","CA","060830028024","=""060830028024""","1109.11","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028061","CA","060830028061","=""060830028061""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028062","CA","060830028062","=""060830028062""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028081","CA","060830028081","=""060830028081""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028082","CA","060830028082","=""060830028082""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028083","CA","060830028083","=""060830028083""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028084","CA","060830028084","=""060830028084""","910.62","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028085","CA","060830028085","=""060830028085""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028086","CA","060830028086","=""060830028086""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028091","CA","060830028091","=""060830028091""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028092","CA","060830028092","=""060830028092""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028093","CA","060830028093","=""060830028093""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830028094","CA","060830028094","=""060830028094""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029061","CA","060830029061","=""060830029061""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029062","CA","060830029062","=""060830029062""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029063","CA","060830029063","=""060830029063""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029071","CA","060830029071","=""060830029071""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029072","CA","060830029072","=""060830029072""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029073","CA","060830029073","=""060830029073""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029091","CA","060830029091","=""060830029091""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029092","CA","060830029092","=""060830029092""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029093","CA","060830029093","=""060830029093""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029131","CA","060830029131","=""060830029131""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029132","CA","060830029132","=""060830029132""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029141","CA","060830029141","=""060830029141""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029142","CA","060830029142","=""060830029142""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029143","CA","060830029143","=""060830029143""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029151","CA","060830029151","=""060830029151""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029221","CA","060830029221","=""060830029221""","419.77","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029222","CA","060830029222","=""060830029222""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029223","CA","060830029223","=""060830029223""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029224","CA","060830029224","=""060830029224""","472.07","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029225","CA","060830029225","=""060830029225""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029241","CA","060830029241","=""060830029241""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029242","CA","060830029242","=""060830029242""","1044.73","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029243","CA","060830029243","=""060830029243""","985.72","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029244","CA","060830029244","=""060830029244""","906.60","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029261","CA","060830029261","=""060830029261""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029262","CA","060830029262","=""060830029262""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029263","CA","060830029263","=""060830029263""","N/A","2021","2010","EPA Smart Location Database","California (State)"
