TRACTID,Pop2010,TractBlack,TractHispanic,TractWhite,TractKids,TractSeniors,One_mile,Half_mile,shr_Black,shr_White,shr_Hispanic,shr_Kids,shr_Seniors,minc,hhd_exp,pct_SNAP,transit_dist,transit_freq,avg_vehicle,City
48201233103,5164,123.0,4377.0,3175.0,1937.0,201.0,,171.78586435318,0.023818745158791635,0.614833462432223,0.8475987606506584,0.37509682416731216,0.03892331525948877,40514.0,48800.0,36.86,784.56,,1.7,Houston
48201233200,6232,222.0,4444.0,4306.0,2069.0,575.0,,1562.02837603539,0.035622593068035946,0.6909499358151476,0.7130937098844673,0.33199614890885754,0.09226572528883184,58304.0,55200.0,21.75,498.895,7.046666666666667,2.1,Houston
48201233300,4818,83.0,4321.0,2874.0,1671.0,289.0,380.549536593258,2393.25849943236,0.017227065172270652,0.5965130759651308,0.8968451639684516,0.3468244084682441,0.059983395599833955,57622.0,54100.0,10.23,899.89,3.1566666666666663,2.3,Houston
48201233400,2757,256.0,2186.0,1613.0,809.0,290.0,0.0,145.511363983154,0.09285455204932898,0.5850562205295611,0.7928908233587233,0.29343489299963726,0.10518679724338048,33508.0,43300.0,35.57,742.31,4.46,1.6,Houston
48201233600,2127,1594.0,526.0,196.0,563.0,276.0,842.126328803366,1413.14718271769,0.7494123178185237,0.0921485660554772,0.24729666196520922,0.2646920545369064,0.12976022566995768,30515.0,43900.0,30.15,149.535,2.44,1.4,Houston
48201233701,5245,700.0,3939.0,3225.0,1686.0,494.0,103.693134978414,1940.03116523195,0.1334604385128694,0.6148713060057197,0.7510009532888465,0.32144899904671115,0.09418493803622498,45087.0,53800.0,23.31,,0.42,1.8,Houston
48201233703,2656,25.0,2228.0,1778.0,932.0,207.0,558.74231916666,1220.78392118216,0.00941265060240964,0.6694277108433735,0.838855421686747,0.3509036144578313,0.0779367469879518,50404.0,58100.0,17.1,,,2.1,Houston
48201240400,6394,1711.0,3223.0,3231.0,2007.0,352.0,1313.29528122718,2362.36372804313,0.2675946199562089,0.5053174851423209,0.5040663121676572,0.3138880200187676,0.05505161088520488,55778.0,59500.0,25.1,486.155,1.1749999999999998,1.8,Houston
48201240600,2657,956.0,1586.0,809.0,929.0,36.0,87.4632463157177,206.854906141758,0.3598042905532556,0.30447873541588255,0.5969138125705683,0.34964245389537074,0.013549115543846444,27383.0,38000.0,56.1,83.15,18.35,,Houston
48201240802,3912,1160.0,1534.0,1911.0,1207.0,328.0,540.201183270663,1645.53474904784,0.2965235173824131,0.48849693251533743,0.39212678936605316,0.3085378323108384,0.08384458077709611,54225.0,57400.0,15.05,,2.27,2.1,Houston
