"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06075061506","CA","06075061506","=""06075061506""","250001","2017-2021","2020","Census","California (State)"
"Census Tract","06075061507","CA","06075061507","=""06075061507""","93466","2017-2021","2020","Census","California (State)"
"Census Tract","06075061508","CA","06075061508","=""06075061508""","N/A","2017-2021","2020","Census","California (State)"
"Census Tract","06075980200","CA","06075980200","=""06075980200""","N/A","2017-2021","2020","Census","California (State)"
"Census Tract","06075980300","CA","06075980300","=""06075980300""","149688","2017-2021","2020","Census","California (State)"
"Census Tract","06075980401","CA","06075980401","=""06075980401""","N/A","2017-2021","2020","Census","California (State)"
"Census Tract","06075980501","CA","06075980501","=""06075980501""","11316","2017-2021","2020","Census","California (State)"
"Census Tract","06075980600","CA","06075980600","=""06075980600""","120268","2017-2021","2020","Census","California (State)"
"Census Tract","06075980900","CA","06075980900","=""06075980900""","137750","2017-2021","2020","Census","California (State)"
"Census Tract","06075990100","CA","06075990100","=""06075990100""","N/A","2017-2021","2020","Census","California (State)"
"Census Tract","06075990200","CA","06075990200","=""06075990200""","N/A","2017-2021","2020","Census","California (State)"
"Census Tract","06077000101","CA","06077000101","=""06077000101""","33750","2017-2021","2020","Census","California (State)"
"Census Tract","06077000102","CA","06077000102","=""06077000102""","15227","2017-2021","2020","Census","California (State)"
"Census Tract","06077000300","CA","06077000300","=""06077000300""","24808","2017-2021","2020","Census","California (State)"
"Census Tract","06077000401","CA","06077000401","=""06077000401""","47639","2017-2021","2020","Census","California (State)"
"Census Tract","06077000402","CA","06077000402","=""06077000402""","25728","2017-2021","2020","Census","California (State)"
"Census Tract","06077000500","CA","06077000500","=""06077000500""","33281","2017-2021","2020","Census","California (State)"
"Census Tract","06077000600","CA","06077000600","=""06077000600""","31552","2017-2021","2020","Census","California (State)"
"Census Tract","06077000700","CA","06077000700","=""06077000700""","34673","2017-2021","2020","Census","California (State)"
"Census Tract","06077000802","CA","06077000802","=""06077000802""","63333","2017-2021","2020","Census","California (State)"
"Census Tract","06077000803","CA","06077000803","=""06077000803""","68571","2017-2021","2020","Census","California (State)"
"Census Tract","06077000900","CA","06077000900","=""06077000900""","59237","2017-2021","2020","Census","California (State)"
"Census Tract","06077001000","CA","06077001000","=""06077001000""","71137","2017-2021","2020","Census","California (State)"
"Census Tract","06077001101","CA","06077001101","=""06077001101""","75345","2017-2021","2020","Census","California (State)"
"Census Tract","06077001102","CA","06077001102","=""06077001102""","53586","2017-2021","2020","Census","California (State)"
"Census Tract","06077001200","CA","06077001200","=""06077001200""","79775","2017-2021","2020","Census","California (State)"
"Census Tract","06077001300","CA","06077001300","=""06077001300""","60723","2017-2021","2020","Census","California (State)"
"Census Tract","06077001400","CA","06077001400","=""06077001400""","50217","2017-2021","2020","Census","California (State)"
