"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06059099510","CA","06059099510","=""06059099510""","47100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099511","CA","06059099511","=""06059099511""","75100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099512","CA","06059099512","=""06059099512""","79900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099513","CA","06059099513","=""06059099513""","78800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099514","CA","06059099514","=""06059099514""","84600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099601","CA","06059099601","=""06059099601""","63700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099602","CA","06059099602","=""06059099602""","76700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099603","CA","06059099603","=""06059099603""","81400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099604","CA","06059099604","=""06059099604""","80700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099605","CA","06059099605","=""06059099605""","83500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099701","CA","06059099701","=""06059099701""","64000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099702","CA","06059099702","=""06059099702""","64700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099703","CA","06059099703","=""06059099703""","73800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099801","CA","06059099801","=""06059099801""","63900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099802","CA","06059099802","=""06059099802""","47500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099803","CA","06059099803","=""06059099803""","61000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099902","CA","06059099902","=""06059099902""","74100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099903","CA","06059099903","=""06059099903""","70200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099904","CA","06059099904","=""06059099904""","56400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099905","CA","06059099905","=""06059099905""","71100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059099906","CA","06059099906","=""06059099906""","87800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110001","CA","06059110001","=""06059110001""","86800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110003","CA","06059110003","=""06059110003""","74200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110004","CA","06059110004","=""06059110004""","82100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110005","CA","06059110005","=""06059110005""","76700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110006","CA","06059110006","=""06059110006""","94600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110007","CA","06059110007","=""06059110007""","89000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110008","CA","06059110008","=""06059110008""","83600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110010","CA","06059110010","=""06059110010""","92800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110011","CA","06059110011","=""06059110011""","82400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110012","CA","06059110012","=""06059110012""","90100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110014","CA","06059110014","=""06059110014""","68700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110015","CA","06059110015","=""06059110015""","82100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110102","CA","06059110102","=""06059110102""","80300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110104","CA","06059110104","=""06059110104""","68500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110106","CA","06059110106","=""06059110106""","80500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110108","CA","06059110108","=""06059110108""","73500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110109","CA","06059110109","=""06059110109""","81600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110110","CA","06059110110","=""06059110110""","68600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110111","CA","06059110111","=""06059110111""","79200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110113","CA","06059110113","=""06059110113""","81000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110114","CA","06059110114","=""06059110114""","86700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110115","CA","06059110115","=""06059110115""","77600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110116","CA","06059110116","=""06059110116""","85400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110117","CA","06059110117","=""06059110117""","79900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110118","CA","06059110118","=""06059110118""","104600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110201","CA","06059110201","=""06059110201""","67500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110202","CA","06059110202","=""06059110202""","62100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110203","CA","06059110203","=""06059110203""","81500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110301","CA","06059110301","=""06059110301""","80400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110302","CA","06059110302","=""06059110302""","78400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110303","CA","06059110303","=""06059110303""","75100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110304","CA","06059110304","=""06059110304""","85700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110401","CA","06059110401","=""06059110401""","74600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110402","CA","06059110402","=""06059110402""","77600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110500","CA","06059110500","=""06059110500""","62600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110603","CA","06059110603","=""06059110603""","57700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110604","CA","06059110604","=""06059110604""","82000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110605","CA","06059110605","=""06059110605""","79800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110606","CA","06059110606","=""06059110606""","63600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059110607","CA","06059110607","=""06059110607""","65600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059980000","CA","06059980000","=""06059980000""","N/A","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06059990100","CA","06059990100","=""06059990100""","N/A","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020104","CA","06061020104","=""06061020104""","70200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020105","CA","06061020105","=""06061020105""","74200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
