"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","060590626454","CA","060590626454","=""060590626454""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626455","CA","060590626455","=""060590626455""","23017","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626461","CA","060590626461","=""060590626461""","103399","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626462","CA","060590626462","=""060590626462""","102072","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626463","CA","060590626463","=""060590626463""","56814","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626464","CA","060590626464","=""060590626464""","43865","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626471","CA","060590626471","=""060590626471""","103083","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626472","CA","060590626472","=""060590626472""","103250","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626473","CA","060590626473","=""060590626473""","11068","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626474","CA","060590626474","=""060590626474""","142131","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626481","CA","060590626481","=""060590626481""","54319","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626482","CA","060590626482","=""060590626482""","17248","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626483","CA","060590626483","=""060590626483""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626491","CA","060590626491","=""060590626491""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626492","CA","060590626492","=""060590626492""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590626493","CA","060590626493","=""060590626493""","53953","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627011","CA","060590627011","=""060590627011""","101114","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627012","CA","060590627012","=""060590627012""","54664","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627021","CA","060590627021","=""060590627021""","54566","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627022","CA","060590627022","=""060590627022""","54315","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627023","CA","060590627023","=""060590627023""","54695","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627024","CA","060590627024","=""060590627024""","54614","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590627025","CA","060590627025","=""060590627025""","54628","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590628001","CA","060590628001","=""060590628001""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590628002","CA","060590628002","=""060590628002""","111729","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590628003","CA","060590628003","=""060590628003""","111815","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590628004","CA","060590628004","=""060590628004""","111823","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590629001","CA","060590629001","=""060590629001""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590629002","CA","060590629002","=""060590629002""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630041","CA","060590630041","=""060590630041""","48829","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630042","CA","060590630042","=""060590630042""","48920","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630043","CA","060590630043","=""060590630043""","37139","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630044","CA","060590630044","=""060590630044""","20606","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630051","CA","060590630051","=""060590630051""","52589","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630052","CA","060590630052","=""060590630052""","46012","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630061","CA","060590630061","=""060590630061""","32463","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630062","CA","060590630062","=""060590630062""","45981","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630071","CA","060590630071","=""060590630071""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630072","CA","060590630072","=""060590630072""","47239","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630073","CA","060590630073","=""060590630073""","47915","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630074","CA","060590630074","=""060590630074""","43813","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630081","CA","060590630081","=""060590630081""","57810","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630091","CA","060590630091","=""060590630091""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630101","CA","060590630101","=""060590630101""","44730","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630102","CA","060590630102","=""060590630102""","51516","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630103","CA","060590630103","=""060590630103""","56990","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630104","CA","060590630104","=""060590630104""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631011","CA","060590631011","=""060590631011""","105568","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631012","CA","060590631012","=""060590631012""","37528","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631021","CA","060590631021","=""060590631021""","84942","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631022","CA","060590631022","=""060590631022""","84567","2021","2010","EPA Smart Location Database","California (State)"
